date,O3,CO,NO2,SO2
2026-06-10,0.1177562461958991,,2.7873493161530712e-05,-9.278915867747484e-05
2026-06-09,0.1180731394224696,0.0284459134563803,3.0166153353800635e-05,4.560889162045593e-06
2026-06-08,0.1184084763129552,0.0222182424428562,,
2026-06-04,0.1161307818359798,0.03021499235183,,7.169594912714249e-05
2026-01-01,0.1141405291027493,,,-3.399054126930423e-05
2025-12-29,0.1143842826286951,,,2.461940511958953e-05
2026-01-02,0.1105171249972449,,,
2025-12-28,0.1146342534157964,,,2.2498025937865947e-05
2025-12-30,0.113851574063301,,2.09458388990942e-05,-2.497907698852941e-05
2025-12-31,0.1137563829620679,,1.4882141101679736e-05,
2025-12-26,0.1153205075197749,0.026421893801954,2.8020659040824588e-05,9.410492493771016e-05
2025-12-27,0.1134683339132203,0.0240287896955297,2.892776507602927e-05,9.04715987582511e-05
2026-08-16,0.1184314548969268,0.0312319766574849,3.321655636278188e-05,2.8427926796818307e-05
2026-08-21,0.1234882793492741,0.0227970774643696,4.099398910410754e-05,
2026-08-18,0.1212422120335855,0.0274378365940517,3.2062165209444594e-05,0.0002428780603209
2026-08-15,0.119162275062667,0.0243639422482565,3.146795404770981e-05,0.0001060218199755
2026-08-19,0.12113299585051,0.0301182226588328,3.73095843113131e-05,-0.0003008947096532
2026-08-22,0.1213271685772472,,2.4215833319532168e-05,-3.747480291672723e-05
2026-08-17,0.1215468380186292,0.0253045005767151,2.5323749219575304e-05,0.0004232496274581
2026-08-20,0.1216454658243391,0.0321639063871569,8.394076758122537e-06,-0.0002093365191368
2026-04-21,0.1159642775853475,,2.360735116882198e-05,0.0003997524569664
2026-04-20,0.1185351906551255,,3.632448550528944e-05,2.2810823219804828e-05
2026-04-19,0.118313011361493,0.0306951310485601,1.8027836954893752e-05,0.0001173849031652
2026-04-22,0.115807343688276,,2.543333375797374e-05,0.0001439894904012
2026-04-18,0.1167073509759373,0.0235752444714307,2.652566228451093e-05,3.4662218604353255e-05
2026-04-17,0.1162072332368956,,2.4237948575940142e-05,0.0003152315450279
2026-04-24,0.1171704126728905,0.028589716181159,,0.0001276451035123
2026-04-23,0.1154262870550155,0.0285266345366835,3.632470876861286e-05,0.0003586526424138
2026-05-08,0.1156705155968666,,,7.204773460533794e-05
2026-05-06,0.1190194759103987,,3.107463153601448e-05,-0.0001042713389324
2026-05-10,0.1170547929075029,0.0270518044179136,3.330672172358556e-05,0.0005385769088105
2026-05-03,0.1159932386544015,,4.250040728948079e-05,0.0003880556560457
2026-05-07,0.1185681563284662,,,5.702771951392707e-05
2026-05-09,0.1167927664187219,0.0283834513808999,2.5875089477267466e-05,0.0001860435875231
2026-05-04,0.1179414866699112,0.0303351674894137,2.024957774438008e-05,0.0001008664493484
2026-05-05,,0.0291470884241991,,-7.890847110603419e-05
2026-07-28,0.1193391765157381,0.0263889792400437,1.96766890109178e-05,1.175040667931171e-05
2026-07-24,0.1164531722664833,0.0302846987238701,,0.000153857431817
2026-07-25,0.119104348288642,0.0245497135970837,1.9876260921591893e-05,0.0002868169383633
2026-07-26,0.121211180753178,0.0250618515366857,,0.0001893248431669
2026-07-22,0.1135149800115161,0.0272563495894982,,0.0001546249528877
2026-07-29,0.1206071997682253,0.0228802959124247,1.3103222624977206e-05,0.0001464147339902
2026-07-23,0.1160098728206422,0.0277234707027673,,3.0559988307585526e-05
2026-07-27,0.1192007958889007,0.025368650198767,,0.0004749395410827
2026-05-02,0.1169048466616206,0.0301119724495543,,-7.547430868726224e-07
2026-04-26,0.1172744913233651,0.0346820606539646,,0.0002220194844691
2026-04-25,0.1177698693341679,0.0331455724106894,,0.000184507802265
2026-05-01,0.116130197710461,,2.663204577402212e-05,-0.0002598836827718
2026-04-27,0.1159772051705254,0.0278863517522085,1.662146644989929e-05,3.4737361905475456e-08
2026-04-29,0.1165487968259387,0.0280521557976802,,0.0001224198575881
2026-04-30,0.1159428225623236,0.0318197479937225,2.61404988619192e-05,0.0001808856886026
2026-04-28,0.1168137381856258,0.0278974089673475,2.680238406225856e-05,0.0002189939585857
2025-09-03,0.114642609986994,,1.4191201191553975e-05,
2025-09-04,0.113657851351632,0.0294648194103501,,-0.0001415005703661
2025-09-02,0.1146835338738229,,2.11613160617758e-05,0.0005234020952937
2025-08-29,0.1143849944074948,0.0375214383790367,1.1993228630065763e-05,-0.0001056715336744
2025-08-30,0.1155033649669753,0.0338103283610608,,
2025-08-28,0.1157518865333663,0.0299467460148864,2.483999659965602e-05,
2025-08-31,0.116232943865988,0.0336411875983079,,-1.2469817079363564e-05
2025-09-01,0.1151908545030487,0.0304038763667146,2.9156905199030275e-05,3.162503985549847e-05
2025-10-11,0.1141835760739114,0.0280815418809652,,
2025-10-12,0.1143121278948254,,,
2025-10-14,0.1183472378386391,,,1.932520768561864e-05
2025-10-09,0.1182210973567432,0.0272874362193621,2.0675312043749727e-05,-2.2581227919242035e-05
2025-10-13,0.1172704559233453,0.0241472218185663,2.6780749370421592e-05,
2025-10-10,0.1170770539177788,0.027545770949551,3.293060554872347e-05,9.50249260313285e-05
2025-10-07,0.1205512139532301,,,
2025-10-08,0.118394917415248,0.0276108763978949,,
2025-11-20,0.1141301011045773,0.0277224908183727,,0.0004031130390373
2025-11-19,0.1162729494091941,,2.1637346536222552e-05,9.98119604787462e-05
2025-11-17,0.1169202869137128,0.0288942036529382,2.243612107122317e-05,4.976529231094496e-06
2025-11-22,0.1154739985863367,0.032160702554716,,
2025-11-23,0.1135097760293218,0.0277226561059554,,0.0001374367996403
2025-11-18,0.1148024660017755,0.0301546673393911,,0.0002570138552982
2025-11-21,0.1146849047806527,0.0307250724484523,2.641559298023243e-05,1.0526639267155611e-05
2025-11-16,0.117541815009382,0.0275304599199444,,0.0001533830696213
2026-02-03,0.1133864149451255,0.0249469255851138,1.963900535496453e-05,3.5951932017673645e-05
2026-02-01,0.1155584492617183,0.0281701802793476,2.2066931316138444e-05,-2.308424300786606e-05
2026-01-31,0.1144077125522825,0.0279170305778582,,-4.384020277130832e-05
2026-01-28,0.1156844109296798,0.0278213903217054,3.311085230153468e-05,-1.3257783262411572e-05
2026-01-29,0.1136573241816626,0.0245074941998436,2.5891208538803982e-05,0.0003400874388587
2026-02-02,0.1126068505975935,0.0268415487939264,2.0671011952799745e-05,6.428505155947113e-05
2026-01-27,0.1134158609641922,,2.944853745515609e-05,0.0002169765916178
2026-01-30,0.1147431007689899,,3.35822595338363e-05,2.9527849882368983e-05
2026-04-16,0.1166176579064793,0.0268701734737708,2.2246512467186346e-05,-5.138018786965404e-05
2026-04-13,0.1170676638682683,0.0325491698665751,3.679939780138536e-05,6.784256458255792e-05
2026-04-15,0.1163746348685688,0.0291316832105318,2.7616370637891426e-05,-0.000121033843739
2026-04-12,0.1179284247405388,,2.499789549179504e-05,7.945483991255558e-05
2026-04-10,0.1185669771499104,0.0255250898914204,3.1702909518571686e-05,8.546283201456657e-05
2026-04-11,0.1192934546205732,0.0286294059620963,4.656981703495452e-05,6.171753515494906e-05
2026-04-09,0.1179683657156096,0.0293713156961732,3.0097195121925324e-05,-1.1294661453575829e-05
